Store Name,Address,Timings,Phone Number,Coordinates
Nykaa Luxe - Alpha One Mall ,"Ground Floor, Unit No. G-35, Plot No-216, T.P Scheme-1, Near Vastrapur Lake, Vastrapur, Ahmedabad, Gujarat 380054",11:00 AM - 09:30 PM,,"(23.038147739357086, 72.53026545214242)"
Nykaa Luxe - Esplanade Mall ,"Ground Floor, Shop No. UG-28, Unit No. 32,721, Rasulgarh Industrial Estate, Industrial Area Estate, Bhubaneswar, Odisha 751010",11:00 AM - 09:30 PM,,"(20.296344905335378, 85.8605671210342)"
Nykaa Luxe - Forum Shantiniketan Mall ,"Unit No - 21 Whitefield Main road, Hoodi. Bengaluru-560067",11:00 AM - 09:30 PM,,"(12.977977289342315, 77.71335332547937)"
Nykaa Luxe - Z Square Mall ,"Ground Floor, Unit No. G-03,16/113, Mall Road, Bada Chauraha, Downtown, Kanpur, Uttar Pradesh 208001",11:00 AM - 09:30 PM,,"(26.459805740257625, 80.35359448769765)"
Nykaa On Trend - Inorbit Mall ,"Unit No. GF - 06, Link Rd, Malad West, Mumbai, Maharashtra 400064",11:00 AM - 09:30 PM,,"(19.193519753959734, 72.83420725391909)"
Nykaa On Trend - VR Mall ,"Unit No. G-47 A, Jawaharlal Nehru Rd, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",11:00 AM - 09:30 PM,,"(13.093125215595883, 80.19866003664146)"
Nykaa On Trend - Viviana Mall ,"Unit No. GF-52A, Eastern Express Highway, On Service Road, Next To Jupiter Hospital, Thane West, Thane, Maharashtra 400601",11:00 AM - 09:30 PM,,"(19.20613807494298, 72.97739719367634)"
Nykaa On Trend - Ambience Mall ,"Unit No. G-060A, NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002",11:00 AM - 09:30 PM,,"(28.48917549932746, 77.11265694905839)"
Nykaa On Trend - MI Road ,"Ground Floor, E-2, Kamani Mansion, Panch Batti Circle, M.I. Road, Jaipur, Rajasthan 302001",11:00 AM - 09:30 PM,,"(26.919227780509043, 75.79773794176526)"
Nykaa Luxe - Lavelle Road ,"Lavelle Road, 7, 100 Feet Ring Road, Near-Regent, Bengaluru, Karnataka 560001",11:00 AM - 09:30 PM,,"(12.965855171422422, 77.59551348984034)"
Nykaa Luxe - Pacific Mall ,"Pacfic Mall, Unit No GF - 39, Najafgarh Rd, Tagore Garden, Tilak Nagar, New Delhi, Delhi 110018 Ph: 011-46010013",11:00 AM - 09:30 PM,011-4601001,"(28.651953460020906, 77.12801820464806)"
"Nykaa Luxe - Forum Courtyard Mall, Kolkata ","Nykaa LUXE, Forum Courtyard Mall, Unit No GF - 009, 10/3, Elgin Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020 Ph: 033 4005 6397",11:00 AM - 09:30 PM,,"(22.537713168439332, 88.3524840829673)"
Nykaa Luxe - Linking Road ,"Nykaa Luxe, Plot No 329, Ground Floor,Dawn Building, Linking Road, Khar Mumbai, Maharashtra 400052 Ph: 022-62362228",11:00 AM - 09:30 PM,022-6236222,"(19.073990000000038, 72.83445000000006)"
"Nykaa Luxe - High Street, Panaji, Goa ","Nykaa Luxe, Ground Floor, Park Plaza Building, Opp Azad Maidan, Panaji, Goa - 403001 Panaji, Goa 403001",11:00 AM - 09:30 PM,,"(15.485240354000041, 73.82653000000005)"
"Nykaa Luxe - Sahara Ganj, Lucknow ","Sahara Ganj Mall, Shop No. – 21D, Ground Floor, Shahnajaf Road, Prem Nagar, Hazratganj Lucknow, Uttar Pradesh 226001",11:00 AM - 09:30 PM,,"(26.85391000000004, 80.94725000000005)"
Nykaa Luxe - Powai ,"Nykaa LUXE, G4A, Ground Floor, City Park Central Avenue, Hiranandani Business Park, Powai, Mumbai, Maharashtra 400076",11:00 AM - 09:30 PM,,"(19.116141753791, 72.90930214939138)"
"Nykaa Luxe - Inorbit Mall, Vadodara ","Nykaa Luxe, Inorbit Mall, Shop No. – G-33, Opp, Alembic Rd, Subhanpura, Vadodara, Gujarat 390023",11:00 AM - 09:30 PM,,"(22.323089613527394, 73.15254203126797)"
Nykaa Luxe - City Centre Mall ,"Nykaa LUXE, City Centre Mall, Unit No GF - 3 & 3A, 10/3, GS Rd, Guwahati, Assam 781005",10:00 AM - 10:00 AM,,"(26.161168546490888, 91.77265085828144)"
Nykaa Luxe - Khan Market 2 ,"Nykaa Luxe, Khan Market, 45-A, Front Portion, New Delhi - 110003",11:00 AM - 09:30 PM,,"(28.600150008015106, 77.22676002809821)"
"Nykaa On Trend - Trilium Mall, Nagpur ","Nykaa On Trend, Trilium Mall, Unit No. UGF - 18, Rambagh Layout, Untkhana, Nagpur, Maharashtra 440003",11:00 AM - 09:30 PM,,"(21.126569904000064, 79.08812500000005)"
"Nykaa Luxe - MBD Mall, Ludhiana ","MBD Neopolis Mall, Ground Floor, Ferozpur Rd, Housing Board ColonyAdjacent Rajguru NagarLudhiana, Punjab 141012",11:00 AM - 09:30 PM,,"(30.88019042418033, 75.78515814357338)"
Nykaa Kiosk - Select CITYWALK Mall ,"Nykaa (Kiosk), Select City Walk Mall, A-3, Saket District Centre, District Centre, Sector 6, Pushp Vihar, New Delhi, Delhi - 110017",11:00 AM - 09:30 PM,,"(28.52798000000007, 77.22550000000007)"
"Nykaa Luxe - VR Mall, Surat ","Nykaa Luxe, VR Mall, Shop No. – 16A, Ground Floor, Dumas Rd, Magdalla, Surat, Gujarat 395007",11:00 AM - 09:30 PM,,"(21.144790000000057, 72.75814000000008)"
"Nykaa On Trend - Sarath City Capital Mall, Hyderabad ","Nykaa On Trend, Sarath City Capital Mall, UG-105, Gachibowli - Miyapur Road, White Field Rd, Kondapur, Hyderabad, Telangana 500084",11:00 AM - 09:30 PM,,"(17.46435651437581, 78.36737864574769)"
"Nykaa Luxe - 100 Feet Road, Indiranagar, Bengaluru ","Nykaa Luxe, No. 383, Ground Floor, 100 Feet road Indiranagar, HAL 2nd Stage, Bangalore - 560038",11:00 AM - 09:30 PM,,"(12.970567812663774, 77.64132201561767)"
"Nykaa On Trend - MBD Mall, Jalandhar ","Nykaa On Trend, MBD Neopolis Mall, Shop GF 01Sehdev Market Jalandhar, Punjab 144001",11:00 AM - 09:30 PM,,"(31.322580000000073, 75.58361572900003)"
"Nykaa On Trend - Pacific Mall, Dwarka ","Nykaa On Trend Pacific Mall, SH 1F-15, 1st Floor, Sector 21, Dwarka Metro Station of Line 3 and Airport Express Line New Delhi, Delhi 110077",11:00 AM - 09:30 PM,,"(28.560159175994265, 77.05235160290867)"
Nykaa Luxe - Magneto Mall ,"Nykaa Luxe Magneto The Mall, Shop GF 11Great Eastern Road, Jivan Vihar, Labhandih Raipur, Chhattisgarh 492001",11:00 AM - 09:30 PM,,"(21.23882495587536, 81.68584928971747)"
Nykaa On Trend - The Forum Fiza Mall ,"Nykaa On Trend The Forum Fiza Mall, Shop UGF-1, Mangaladevi Temple Road Pandeshwar, Mangalore Mangalore, Karnataka 575001",11:00 AM - 09:30 PM,,"(12.858030000000042, 74.83879000000007)"
Nykaa Kiosk - Forum Mall Koramangala ,"The Forum Mall, KGR 07, No. 21, Hosur RoadChikku Lakshmaiah Layout, Koramangala, Bengaluru, Karnataka 560095",11:00 AM - 09:30 PM,,"(12.934932947594177, 77.61214477830202)"
"Nykaa Luxe - Sector 17, High Street ","SCO 50, Sector 17-CBridge Market, Sector 17Chandigarh, Punjab 160017",11:00 AM - 09:30 PM,,"(30.739977363826814, 76.78303638444117)"
Nykaa Luxe - Gaur City Mall ,"Nykaa Luxe, Shop 20, Ground Floor, Gaur City MallPLOT NO-C1B/GH-01, Sector-4, Greater Noida - WestGreater Noida, Uttar Pradesh 201308",11:00 AM - 09:30 PM,,"(28.53200247442912, 77.35790799248873)"
Nykaa On Trend - Phoenix Market City Mall ,"Shop G-23, Phoenix United Mall Pilibhit Bypass Road Bareilly, Uttar Pradesh 243122",11:00 AM - 09:30 PM,,"(28.39081008921143, 79.4555742007449)"
Nykaa Luxe - Wave Mall ,"Nykaa Luxe, Wave Mall, Shop No. UGF - 16, G.S. Malls Pvt. Ltd, Opp, Bathindi Rd, Malik Market, Guru Tegh Bahadur Nagar, Channi Rama, Jammu, Jammu and Kashmir 181152",11:00 AM - 09:30 PM,,"(32.712154801438906, 74.90079592147295)"
Nykaa Luxe - Pacific Mall ,"Nykaa Luxe, Pacific Mall, Shop No. UG 09, Village Mauza Jakhan, Rajpur Road, Opp Scholars Home School, Dehradhun, Uttarakhand - 248006",11:00 AM - 09:30 PM,,"(30.35746451705315, 78.06635624004987)"
Nykaa Luxe - Ambience Mall ,"Nykaa Luxe, Ambience Mall, Unit No. UG - 19, 2, Nelson Mandela Marg, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070",11:00 AM - 09:30 PM,,"(28.53091249174013, 77.14978407935698)"
Nykaa On Trend - P&M Hi-Tech City Centre Mall ,"Nykaa OnTrend, P&M Hi-Tech City Centre Mall, Shop No. G- 18, Mauja, Jugsulai, Outer Circle Road, Millenium Park, Bistupur, Jamshedpur, Jharkhand 831001",11:00 AM - 09:30 PM,,"(22.79949953837834, 86.1830414227034)"
Nykaa On Trend - Forum Vijaya Mall ,"Nykaa On Trend, Forum Vijaya Mall, Shop No. UG - 17, 183, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026",11:00 AM - 09:30 PM,,"(13.051835674550386, 80.21100196045269)"
"Nykaa On Trend - Inorbit Mall, Vashi ","Nykaa On Trend, Inorbit Mall, Shop No. GF - 07, Palm Beach Rd, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703",11:00 AM - 09:30 PM,,"(19.06630771574696, 73.00243475304003)"
Nykaa Luxe - DLF Avenue Mall ,"Nykaa Luxe, DLF Avenue Mall Saket, Shop No. GF -178A, Saket District Centre, District Centre, Sector 6, Pushp Vihar, New Delhi, Delhi 110017",11:00 AM - 09:30 PM,,"(28.52798000000007, 77.22550000000007)"
Nykaa Kiosk - VR Punjab ,"VR Punjab, Kiosk-GFK 2 NH-21, Chandigarh, Kharar - Landran Rd, Sector 118, Sahibzada Ajit Singh Nagar, Punjab 160055",11:00 AM - 09:30 PM,,"(30.73314560149344, 76.6803414591413)"
Nykaa Kiosk - Treasure Island Mall ,"Treasure Island Mall, 11, Mahatma Gandhi Rd, Near Presure Sland, Near TI Mall, South Tukoganj, Indore, Madhya Pradesh 452001",11:00 AM - 09:30 PM,,"(22.721673437730207, 75.87831759633421)"
Nykaa On Trend - Acropolis Mall ,"Nykaa OnTrend, Acropolis Mall, Shop No. G - 01, No. 1858/1, Rajdanga Main Road, Sector 1, East Kolkata Township, Kolkata, West Bengal 700107",11:00 AM - 08:00 PM,,"(22.51537615084805, 88.39295953903029)"
Nykaa Luxe - Airia Mall ,"Reach Airia Mall, Unit No. GF - 23Sohna Rd, Badshahpur, Sector 66Gurugram, Haryana 122102",12:00 PM - 08:30 PM,,"(28.397650000000056, 77.05856000000006)"
Nykaa Luxe  - One 42 ,"One 42 CHS, Shop No. G - 09 Retail Plaza, Opp Ashok VatikaOff Bopal Ambi RoadBodakdev, Ahmedabad, Gujarat 380058",11:00 AM - 08:00 PM,,"(23.035544911959487, 72.46902802925847)"
Nykaa On Trend - SGS Mall ,"Nykaa On Trend, SGS Mall, Unit no. G - 06, 231, Moledina Rd, Camp, Pune, Maharashtra 411001",09:00 AM - 07:00 PM,,"(18.514004343557538, 73.88247367094183)"
Nykaa Luxe - VR Ambarsar (Trillium Mall) ,"Nykaa Luxe, Trillium Mall, Unit no. 18 &19, wing A, Basant avenue, Plot No. C- Adjacent Nirankari Colony, 4, Circular Rd, Medical Enclave, Amritsar, Punjab 143001",10:00 AM - 09:00 PM,,"(31.65239404498245, 74.88216846943)"
Nykaa Luxe - Jubilee Hills ,"Nykaa Luxe, Shop no. 7, Fortune monarch, Road no. 36, Jubilee Hills, Hyderabad- 500033",10:30 AM - 09:00 PM,,"(17.43533000000002, 78.40218000000004)"
"Nykaa On Trend - Sobhacity Mall, Thrissur ","Nykaa OnTend, Sobha City Mall, GS 25 - A, Kunnamkulam Rd, Puzhakkal, Thrissur, Kerala 680553",11:00 AM - 08:00 PM,,"(10.53983550700002, 76.17046500000004)"
Nykaa Kiosk - Mall Of Travancore ,"Nykaa Kiosk, Mall of Travancore, Chakai-Enchakkal Bypass Road, Chakai, Thiruvananthapuram– 695024",11:00 AM - 09:30 PM,,"(8.497224982593778, 76.9179200180424)"
"Nykaa Luxe - Churchgate, Highstreet ","Nykaa Luxe, G-1, Ground floor, Sunder Mahal, 141 N.S Marg, Marine Drive, Mumbai",11:00 AM - 09:00 PM,,"(18.946660000000065, 72.82459000000006)"
"Nykaa On Trend - Utkal Galleria, Bhubaneswar ","Nykaa Ontrend, Galleria Mall, UG 23 & 24, Gautam Nagar St, Gautam Nagar, Bhubaneswar, Odisha",11:00 AM - 10:00 PM,,"(20.25887753997433, 85.83992468510712)"
"Nykaa Kiosk - Express Avenue, Chennai ","Nykaa Kiosk, Express Avenue  Mall,17, Pattullos Rd, Express Estate, Thousand Lights, Chennai, Tamil Nadu",11:00 AM - 09:00 PM,,"(13.05887000000007, 80.25193000000007)"
"Nykaa Kiosk - Nucleus Mall, Ranchi ","Nykaa Kiosk, Nucleus Mall- MS Plot No. 1690, Holding No. 587 Circilar Road, Lalpur, Ranchi",11:00 AM - 09:00 PM,,"(23.373970000000043, 85.33845000000008)"
"Nykaa On Trend - Phoenix Palassio Mall, Uttar Pradesh ","Nykaa On Trend,  Phoenix Palassio Mall, Unit no. G70 & 71, Sector -7 , Amar Shaheed Path, Gomti Nagar Extension, Lucknow - 226010",11:00 AM - 10:00 PM,,"(26.82554929835219, 81.01273842477363)"
Nykaa Luxe - Lulu Mall Kochi ,"Nykaa Luxe,G60/61,Lulu International Shopping Mall Pvt. Ltd,34/1000,N.H 47,Edapally,Kochi–682024,Kerala,India",10:00 AM - 10:00 PM,,"(10.020011993275746, 76.3081339795995)"
Nykaa Kiosk - DLF Promenade ,"Nykaa Kiosk, DLF Promenade Mall, Opposite to Zara, Side Atrium, Ground floor, 3 Nelson Mandela Road, Vasant Kunj Mall Road, Vasant Kunj, New Delhi - 110070",11:00 AM - 08:00 PM,,"(28.542290000000037, 77.15637000000004)"
Nykaa On Trend - DB City Mall  ,"Nykaa On Trend, DB City Mall, G10, Opp Railway Station on Khasra 520,521,524,525, Race Course Road, Gwalior, Madhya pradesh - 474002",11:00 AM - 09:00 PM,,"(26.21652000000006, 78.18478000000005)"
Nykaa Luxe - Galleria Gurgaon ,"Galleria Market, Shop No. SG 03, Gurgaon-122022",10:00 AM - 08:00 PM,,"(28.467310000000055, 77.08264000000008)"
Nykaa On Trend  - Green Park ,"Nykaa On Trend, S-28, Main Market, Green Park, New Delhi - 110016",11:00 AM - 09:30 PM,,"(28.558236690330197, 77.20402782733896)"
Nykaa Kiosk - Vegac City  ,"Nykaa Kiosk, Vega City Mall, Blue Horizon Hotels Private Limited, No.172/1, Srinivas Industrial Estate, Bannerghatta Road, Bengaluru - 560076",11:00 AM - 09:30 PM,,"(12.88504000000006, 77.60496135400007)"
Nykaa On Trend - Forum Centre City ,"Nykaa On Trend, Forum Centre City Mall, UGF-19, No.8 & N-5, Hyderali Rd, Nazarbad Mohalla, Mysuru, Karnataka - 570010",11:00 AM - 09:30 PM,,"(12.318092976844946, 76.66523480632596)"
Nykaa Luxe - Quest Mall ,"Nykaa Luxe, Quest Mall, 33, Syed Amir Ali Ave, Park Circus, Beck Bagan Row, Kolkata, West Bengal 700017",11:00 AM - 09:00 PM,,"(22.53888062473976, 88.36515192769888)"
Nykaa On Trend - Lajpat Nagar ,"Nykaa On Trend, Shop No. E -23B, Ground Floor, Central Market, Lajpat Nagar II, Lajpat Nagar, New Delhi - 110024",11:00 AM - 09:30 PM,,"(28.569990000000075, 77.24131000000006)"
Nykaa Luxe - Jayanagar ,"Nykaa Luxe Jayanagar Bangalore,FSN Brands Marketing Pvt.Ltd,396/85,Ground floor,11th main road,3rd block,Jayanagar,Bangalore-560011",10:00 AM - 08:00 PM,,"(12.932638066323776, 77.58603188096824)"
Nykaa Luxe - Lulu Bangalore ,"Nykaa Luxe Lulu Global Mall,Gopalapura, Binnipete, Bengaluru,Karnataka",11:00 AM - 09:00 PM,,"(13.140750000000025, 77.42675000000008)"
"Nykaa Luxe - Pacific, NSP, New Delhi ","Nykaa Luxe Pacific Mall NSP,  SH/GF/13, Ground Floor at Pacific Mall, Netaji Subhash Place",11:00 AM - 09:30 PM,,"(28.693900000000042, 77.15440000000007)"
"Nykaa On Trend  - Civil Lines, Allahabad  ","Nykaa On Trend, 18/A, Sardar Patel Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",11:00 AM - 09:30 PM,,"(25.463944528360553, 81.83640523004598)"
"Nykaa On Trend  - Kamla Nagar, New Delhi ","Nykaa On Trend, Shop No - 28UA, Ground Floor, Bungalow Road, Kamla Nagar, Delhi, 110007",11:00 AM - 09:00 PM,,"(28.683275542540144, 77.20524587538335)"
"Nykaa Luxe - Rcity Mall, Mumbai ","Nykaa Luxe, G70, Ground Floor, Rcity Mall, Lal Bahadur Shastri Road, Amrut Nagar, Ghatkopar west, Mumbai, Maharashtra  - 400086",11:00 AM - 09:00 PM,,"(19.101390000000038, 72.91149000000007)"
Nykaa On Trend - PMC Pune ,"Nykaa On Trend, UG - 52, Phoenix Market City, Survey No. 207, Viman Nagar Road Pune - 411014",11:00 AM - 09:00 PM,,"(18.567496593475845, 73.91861603754147)"
Nykaa Luxe - Jodhpur Luxe Store ,"Nykaa Luxe B Road Jodhpur, Unit No 1&2, B Road, Sardarpura (Gandhi Maidan), Jodhpur, Rajasthan – 342003",11:00 AM - 09:00 PM,,"(26.279839992653507, 73.0073799719137)"
Nykaa Luxe - Nykaa Luxe Trivandrum ,"Nykaa Luxe, Lulu Mall,  C12 &13, Lulu Mall, Kazhakootam - Kovalam Bypass Road, Kochuveli, Thiruvananthapuram - 695021",11:00 AM - 09:00 PM,,"(8.503834900832445, 76.89879337191147)"
Nykaa On Trend - Nykaa On Trend Rajkot Gujarat ,"Nykaa On Trend, Shop 07, the Imperial Heights, Near DR. Radhe Krishna Road, 150 Feet Ring Road, Opposite Iscon Mall, Rajkot, Gujarat - 360005",11:00 AM - 09:30 PM,,"(22.279228450000062, 70.73660000000007)"
Nykaa On Trend - Nykaa On Trend Nashik Maharashtra ,"Nykaa On Trend, Shop Nos. 3, 4 and 5, Archit Arcade Apartment, College Road, Nashik, Maharashtra- 422005",11:00 AM - 09:30 PM,,"(20.00541823869229, 73.76369506635238)"
Nykaa On Trend - Nykaa On Trend Shimpoli Borivali ,"Nykaa OnTrend, Ground and first floor, Yash Prabha CHSL, Next to Zudio Store, Opp. Satra Park, Shimpoli Road, Borivali(West). Mumbai- 400092",11:00 AM - 10:00 PM,,"(19.227200293138964, 72.84164797528608)"
Nykaa Kiosk - Nykaa Kiosk C21 Mall Indore ,"Nykaa Kiosk, Century 21 Mall, Ground Floor, AB Road, Indore - 452010",11:00 AM - 09:30 PM,,"(22.76243500000004, 75.88580000000007)"
"Nykaa On Trend - Nykaa On Trend Gokulam, Galleria Mall ","Nykaa On Trend, Store no. 014, UGF, Gokulam Galleria, Mavvoor Road, Near Federal Tower, Arayidathupalam, Kozhikode, Kerala 673016",11:00 AM - 09:30 PM,,"(11.260740000000055, 75.81522657100004)"
"Nykaa On Trend - Nykaa On Trend Banjara Hills ,Hyderabad  ","Nykaa On Trend ,Ground Floor ,Block 2 ,Uptown Banjara,H.NO.8-2-268/F,8-2-270/B/1/1 & 8-2-270 ,Road No.3 ,Banjara Hills ,Hyderabad",11:00 AM - 09:30 PM,,"(17.424126731894997, 78.42893307955417)"
Nykaa On Trend - Nykaa On Trend HSR Layout Bangalore ,"Nykaa OnTrend, ground floor, Site 112, 27th Main road, 2nd sector, HSR Layout, Bangalore-560102",11:00 AM - 09:30 PM,,"(12.900822576550679, 77.64859381449378)"
Nykaa On Trend - Nykaa On Trend Chembur Diamond Garden ,"Nykaa ON Trend, HOTEL BAHRI RESIDENCY, PLOT NO.1, SION TROMBAY HIGHWAY, CHEMBUR EAST, MUMBAI",11:00 AM - 09:30 PM,,"(19.051906074887103, 72.90122920316702)"
Nykaa On Trend - Nykaa On Trend PMC Kurla Mumbai ,"Nykaa On Trend, Phoenix Market City Mall, UG 59, L.B.S. Marg, Kurla West, Mumbai, Maharashtra",11:00 AM - 09:30 PM,,"(19.08507000000003, 72.88746000000003)"
Nykaa Luxe - Nykaa Luxe Udaipur Rajasthan ,"Nykaa Luxe Udaipur Rajasthan, G16, Forum Celebrations Mall, NH-8, opp. Devendra Dham, Bhuwana, Udaipur, Rajasthan",11:00 AM - 09:30 PM,,"(24.610878270364122, 73.70051121654814)"
Nykaa Luxe - Nykaa Luxe DB City Mall Bhopal ,"Unit No. G-32, Opp Maharana Pratap Nagar Zone-1, on Khasra 1511 & 1509, ARERA HILLS, Bhopal, Madhya Pradesh",11:00 AM - 09:30 PM,,"(23.237270000000024, 77.42244000000005)"
Nykaa Kiosk - Nykaa Kiosk Fun Republic Lucknow ,"Nykaa Kiosk,Fun Republic Mall ,NH28,Vipin Khand,Gomti Nagar ,Lucknow",10:30 AM - 09:30 PM,,"(26.856742055026753, 80.97379136080153)"
Nykaa Luxe - Nykaa Luxe Vaishali Nagar Jaipur ,"P No 165, Ground Floor, Rathore Nagar, Amarpali Marg, Vaishali Nagar, Jaipur",10:30 AM - 09:30 PM,,"(26.910820000000058, 75.75159000000008)"
"Nykaa On Trend - Nykaa On Trend MG Road, Agra Highstreet ","Nykaa ON Trends, 1/213 Opp Nagar Nigam Swadeshi Beema Nagar, Uttar Pradesh 282001",10:00 AM - 10:00 PM,,"(28.394280000000037, 79.45635000000004)"
Nykaa On Trend - Nykaa OT Pavillion Mall Pune ,"Nykaa On Trend, G-06, Senapati Bapat Rd, next to JW Marriott Hotel, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016",10:30 AM - 09:30 PM,,"(18.526888051315623, 73.82989889654792)"
Nykaa On Trend - Nykaa On Trend Coimbatore ,"Nykaa On Trend, Shop no. LG-21, Plot No.67-71, Dr Krishnasamy Mudaliyar Rd, Brookefields, Sukrawar Pettai, Ram Nagar, Coimbatore, Tamil Nadu 641001",11:00 AM - 09:30 PM,,"(11.008712352173983, 76.95919604850839)"
Nykaa On Trend - Nykaa On Trend Vizag ,"Nykaa OnTrend, Ground Floor situated at 26-15-105, Purnamarket Main Road, Revenue Ward 23, Visakhapatnam- 530007",10:30 AM - 09:30 PM,,"(17.746090000000038, 83.26230969700003)"
Nykaa Luxe - Nykaa Luxe Karol Bagh Delhi ,"Nykaa Luxe Karol Bagh, Delhi, Shop No 2,6/30-31, Ajmal Khan Road, Karol Bagh, New Delhi 110005",11:00 AM - 09:30 PM,,"(28.645448642152104, 77.18867703210037)"
"Nykaa Kiosk - Nykaa Kiosk, V3S Mall, New Delhi ","Nykaa Kiosk, V3S Mall, Vikas Marg, Laxmi Nagar Commercial Complex, Swasthya Vihar, New Delhi, Delhi 110092",10:00 AM - 11:00 PM,,"(28.641088224094585, 77.287569092952)"
"Nykaa On Trend - Nykaa On Trend Paschim Vihar, Delhi ","Nykaa On Trend, A-3/12, Ground Floor, (west Sidepart), Paschim Vihar new delhi- 110063",11:00 AM - 09:00 PM,,"(28.66922018822948, 77.1042442604371)"
"Nykaa Luxe - Nykaa Luxe Nucleus Mall, Ranchi ","Nykaa luxe, Nucleus mall, circular road, MS Plot No-1690, Holding No-587, Lalpur. Ranchi-834001",11:00 AM - 09:30 PM,,"(23.374459815075834, 85.33855346819078)"
Nykaa Luxe - Nykaa Luxe Lulu Mall Lucknow ,"Nykaa Luxe, Ground Floor, Lulu Mall, Shaheed Path, Gomti Nagar, Lucknow, Uttar Pardesh-226010",11:00 AM - 09:30 PM,,"(26.851447966934852, 81.01672817931035)"
Nykaa On Trend - Nykaa On trend City Centre ,"Nykaa On trend, City Center - DC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",11:00 AM - 09:30 PM,,"(22.58752000000004, 88.40845000000007)"
"Nykaa On Trend - Nykaa On Trend Rajouri Garden, Delhi ","Nykaa On Trend, Right side portion of shop no F122, Main market, Rajouri Garden, New delhi, 110027",11:00 AM - 09:30 PM,,"(28.646050772608287, 77.12019483066383)"
"Nykaa On Trend - Nykaa On Trend Shyamal, Ahmedabad ","Nykaa On Trend, Shop No. 04, Ground Floor, Iconic Shyamal, The Samrudhi Co. Op. Hsg. Soc. Ltd., 132 Ring Road, Shyamal Cross Road, Satellite, Ahmedabad, Gujarat – 480015",11:00 AM - 09:30 PM,,"(23.014658045160203, 72.5306092912076)"
Nykaa Luxe - Nykaa Luxe Koregaon Park ,"Nykaa Luxe, Ground Floor, Shop no.2 , Ganga Commerce, N Main Rd, Koregaon Park, Pune, Maharashtra 411001",10:00 AM - 09:30 PM,,"(18.539310000000057, 73.89774000000006)"
